epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2663.88,1.18705,0.89002,1.02518,0.72669,0.67794,0.71015,0.48726,1.08072,0.89681,1.04096,0.000554521,0.000554521,0.000554521
2,5227.95,1.14488,0.76057,1.00907,0.70327,0.64158,0.66066,0.46429,0.95521,0.86002,0.99623,0.00108821,0.00108821,0.00108821
3,7815.87,1.10139,0.72149,0.99494,0.7339,0.65147,0.69401,0.49285,0.99053,0.77414,0.98092,0.00159989,0.00159989,0.00159989
4,10455.3,1.08846,0.70673,0.99492,0.79329,0.70431,0.7626,0.55551,0.898,0.66245,0.95098,0.00156798,0.00156798,0.00156798
5,13290.8,1.08131,0.68363,0.98781,0.7926,0.70837,0.76064,0.57523,0.85277,0.6303,0.9461,0.00153497,0.00153497,0.00153497
6,16176.3,1.04536,0.66177,0.97927,0.81059,0.70298,0.77597,0.58948,0.85682,0.61821,0.94649,0.00150197,0.00150197,0.00150197
7,19033.9,1.04247,0.65178,0.97391,0.79372,0.7047,0.77144,0.57234,0.86851,0.6164,0.94152,0.00146896,0.00146896,0.00146896
8,21885,1.02798,0.62611,0.97268,0.7746,0.73836,0.77854,0.5876,0.8286,0.60792,0.93938,0.00143595,0.00143595,0.00143595
9,24765.1,1.01234,0.61755,0.96504,0.82986,0.71576,0.7875,0.60348,0.81647,0.58509,0.93357,0.00140295,0.00140295,0.00140295
10,27654.6,1.00393,0.6049,0.96301,0.82921,0.73662,0.80129,0.61829,0.79674,0.58451,0.92807,0.00136994,0.00136994,0.00136994
11,30656.6,0.98275,0.59701,0.95691,0.8132,0.74006,0.79176,0.6084,0.77538,0.5534,0.92299,0.00133693,0.00133693,0.00133693
12,34056.9,0.9813,0.58066,0.95387,0.82365,0.7386,0.79085,0.60941,0.81376,0.56237,0.92985,0.00130393,0.00130393,0.00130393
13,37161.8,0.97825,0.58247,0.953,0.82785,0.7467,0.80152,0.62315,0.78216,0.54454,0.93124,0.00127092,0.00127092,0.00127092
14,40268.5,0.97587,0.56742,0.94862,0.83848,0.73178,0.80774,0.63272,0.76605,0.54724,0.90742,0.00123791,0.00123791,0.00123791
15,43249.9,0.96451,0.55831,0.9498,0.80572,0.75668,0.80811,0.63408,0.76926,0.55061,0.90732,0.00120491,0.00120491,0.00120491
16,46247.6,0.95224,0.55329,0.94565,0.83503,0.7525,0.81041,0.6444,0.73966,0.51547,0.8994,0.0011719,0.0011719,0.0011719
17,49288.6,0.95592,0.54901,0.94244,0.84012,0.76741,0.82545,0.65638,0.75209,0.5116,0.90567,0.00113889,0.00113889,0.00113889
